text,intent
"Hi",greeting
"Hello",greeting
"Hey",greeting
"Aoa",greeting
"Salam",greeting
"Salaam",greeting
"Assalam o Alaikum",greeting
"As-salamu alaykum",greeting
"Assalamualaikum",greeting
"walaikum assalam",greeting
"Good morning",greeting
"Good evening",greeting
"Hi there",greeting
"Aoa ji",greeting
"Salam bhai",greeting
"Hello ji",greeting
"G aoa",greeting
"Aoa bro",greeting
"Hi is there a slot available tomorrow Wednesday between 6-9",booking_request
"Aoa want to book a slot from 8-9 today",booking_request
"I want to book padel tomorrow evening",booking_request
"Book me a slot for futsal tonight",booking_request
"Mujhe kal shaam ka slot book karna hai",booking_request
"Slot book karwana hai kal 7 bajay",booking_request
"Want to book cricket pitch for Sunday",booking_request
"Aoa padel ka slot lena tha aaj raat ko",booking_request
"Can I book the 7-9 slot tomorrow?",booking_request
"Mujhe futsal court chahiye aaj shaam",booking_request
"Booking karwani hai padel ki",booking_request
"I need to book a padel court for 2 hours",booking_request
"Slot lena hai kal subah",booking_request
"Aaj Padel khelna hai",booking_request
"Want to play futsal tomorrow",booking_request
"Cricket khelna hai weekend pe",booking_request
"Book karna hai padel 6-8 ke beech",booking_request
"Aoa main slot reserve karwana chahta hun",booking_request
"Mujhe slot de do kal raat 9 bajay",booking_request
"2 ghantay ka slot book karo aaj",booking_request
"Friday ko evening me padel book karna hai",booking_request
"Parson ka slot book karwa do",booking_request
"I want padel court tomorrow at 5pm",booking_request
"Booking chahiye kal ke liye",booking_request
"Futsal ground reserve karna hai",booking_request
"Khelna hai padel aaj",booking_request
"Slot mil jayega aaj evening 7-9?",booking_request
"Want to reserve a slot for Saturday",booking_request
"Court book karna hai",booking_request
"koi slot hei?",availability_inquiry
"slot hai?",availability_inquiry
"any slot available?",availability_inquiry
"Is there any slot?",availability_inquiry
"Availability batao",availability_inquiry
"kal slot available hai?",availability_inquiry
"What slots are available tomorrow?",availability_inquiry
"aaj shaam slots?",availability_inquiry
"Evening me slot hai?",availability_inquiry
"Tomorrow Friday slots?",availability_inquiry
"Weekend pe availability kya hai?",availability_inquiry
"Do you have any slot between 6-9?",availability_inquiry
"6 se 9 ke beech slot hai?",availability_inquiry
"padel slot available?",availability_inquiry
"futsal court khali hai?",availability_inquiry
"Saturday me koi slot?",availability_inquiry
"Raat ko koi timing hai?",availability_inquiry
"Check karo kal evening slot",availability_inquiry
"What time slots do you have?",availability_inquiry
"Any availability for today?",availability_inquiry
"kal subah ka time hai?",availability_inquiry
"Morning slot milega?",availability_inquiry
"Afternoon me kuch hai?",availability_inquiry
"Is 7pm available tomorrow?",availability_inquiry
"6 bajay ka slot check karo",availability_inquiry
"Kya time milega aaj?",availability_inquiry
"availability dekhna thi",availability_inquiry
"koi jagah khali hai?",availability_inquiry
"kal futsal ke liye slot hai?",availability_inquiry
"Cricket pitch free hai Sunday?",availability_inquiry
"Slot milega ya nahi?",availability_inquiry
"Padel",service_selection
"Futsal",service_selection
"Cricket",service_selection
"Salon",service_selection
"paddle",service_selection
"padel court",service_selection
"futsal ground",service_selection
"cricket pitch",service_selection
"haircut",service_selection
"I want padel",service_selection
"Futsal chahiye",service_selection
"padel please",service_selection
"Pickleball",service_selection
"gym",service_selection
"swimming",service_selection
"tennis",service_selection
"badminton",service_selection
"sports court",service_selection
"padel wala",service_selection
"futsal ground chahiye",service_selection
"Tomorrow",date_selection
"kal",date_selection
"aaj",date_selection
"today",date_selection
"parson",date_selection
"day after tomorrow",date_selection
"Friday",date_selection
"Saturday",date_selection
"Sunday",date_selection
"Monday",date_selection
"this weekend",date_selection
"next week",date_selection
"aglay hafte",date_selection
"15th January",date_selection
"January 20",date_selection
"2025-01-25",date_selection
"is Friday",date_selection
"coming Saturday",date_selection
"aanay wala weekend",date_selection
"kal shaam",date_selection
"7pm",time_selection
"6-9",time_selection
"evening",time_selection
"shaam",time_selection
"morning",time_selection
"subah",time_selection
"raat",time_selection
"night",time_selection
"afternoon",time_selection
"dopahar",time_selection
"8 bajay",time_selection
"7 se 9 tak",time_selection
"after 6",time_selection
"6 ke baad",time_selection
"between 5-7",time_selection
"around 8pm",time_selection
"8 bajay ke around",time_selection
"5pm to 7pm",time_selection
"late evening",time_selection
"early morning",time_selection
"9am",time_selection
"10 bajay subah",time_selection
"3 se 5 ke beech",time_selection
"6-8 pm slot",time_selection
"raat 9 bajay",time_selection
"shaam 6 ke baad",time_selection
"7:30pm",time_selection
"sawa 7",time_selection
"saray 8",time_selection
"How much do you charge?",price_inquiry
"What's the price?",price_inquiry
"kitna hai?",price_inquiry
"rate batao",price_inquiry
"charges kya hain?",price_inquiry
"price kya hai per hour?",price_inquiry
"What are the charges for padel?",price_inquiry
"Futsal ka rate?",price_inquiry
"Is there any discount?",price_inquiry
"discount hai?",price_inquiry
"koi offer hai?",price_inquiry
"1 hour ka kitna?",price_inquiry
"2 ghantay ka rate?",price_inquiry
"total kitna banega?",price_inquiry
"How much for 1.5 hours?",price_inquiry
"evening rates kya hain?",price_inquiry
"weekend pe zyada hai?",price_inquiry
"card pe discount milega?",price_inquiry
"membership discount?",price_inquiry
"pricing structure batao",price_inquiry
"monthly package hai?",price_inquiry
"per hour charges",price_inquiry
"total cost kitni hogi?",price_inquiry
"payment kitna karna hai?",price_inquiry
"6-9 ka total?",price_inquiry
"Yes",confirmation
"Ok",confirmation
